i,theta,chi2_min,chi2_avg
1.0,10.0,42.4968,74.4008
2.0,9.09090909,33.0557,66.6903
3.0,8.26446281,27.7224,58.4338
4.0,7.51314801,21.9429,51.2061
5.0,6.83013455,18.731,37.4427
6.0,6.20921323,15.6104,32.1179
7.0,5.6447393,12.8086,27.5963
8.0,5.13158118,10.646,23.9624
9.0,4.6650738,9.7065,20.5461
10.0,4.24097618,7.8488,17.8071
11.0,3.85543289,5.5137,15.2714
12.0,3.50493899,5.2398,13.2241
13.0,3.18630818,3.9887,11.4966
14.0,2.8966438,3.9887,9.9553
15.0,2.63331254,3.491,8.7285
16.0,2.39392049,3.218,7.5802
17.0,2.17629136,2.7371,6.5942
18.0,1.97844669,2.343,5.7734
19.0,1.7985879,2.0518,5.011
20.0,1.63507991,1.8273,4.4548
21.0,1.48643628,1.6445,3.8713
22.0,1.35130571,1.4543,3.4962
23.0,1.22845974,1.4142,3.0787
24.0,1.11678158,1.2114,2.7847
25.0,1.01525598,1.1763,2.528
26.0,0.92295998,1.1471,2.2908
27.0,0.83905453,1.1207,2.0981
28.0,0.76277684,1.0381,1.9336
29.0,0.69343349,1.0354,1.7881
30.0,0.63039409,1.0333,1.6811
31.0,0.57308553,1.0255,1.5723
32.0,0.52098685,0.9704,1.4807
33.0,0.47362441,0.9526,1.4028
34.0,0.43056764,0.9526,1.3426
35.0,0.39142513,0.9491,1.2894
36.0,0.35584103,0.9346,1.2427
37.0,0.32349184,0.9201,1.2129
38.0,0.29408349,0.9163,1.1663
39.0,0.26734863,0.9131,1.1394
40.0,0.24304421,0.8983,1.1062
41.0,0.22094928,0.8983,1.086
42.0,0.20086298,0.8983,1.0616
43.0,0.18260271,0.8975,1.04
44.0,0.16600247,0.8813,1.0267
45.0,0.15091133,0.8636,1.0067
46.0,0.13719212,0.8636,1.0
47.0,0.12472011,0.8636,0.9816
48.0,0.11338192,0.8636,0.9671
49.0,0.10307447,0.8479,0.9607
50.0,0.09370406,0.7689,0.8953
51.0,0.08518551,0.7657,0.9021
52.0,0.07744138,0.7594,0.8398
53.0,0.07040125,0.7403,0.8157
54.0,0.06400114,0.7403,0.8089
55.0,0.05818285,0.7403,0.8017
56.0,0.0528935,0.7403,0.7944
57.0,0.048085,0.7367,0.7896
58.0,0.04371364,0.7347,0.7807
59.0,0.03973967,0.7347,0.7751
60.0,0.03612697,0.7285,0.7708
61.0,0.0328427,0.7285,0.7626
62.0,0.029857,0.7281,0.7584
63.0,0.02714273,0.7227,0.7536
64.0,0.02467521,0.7206,0.7497
65.0,0.02243201,0.7205,0.745
66.0,0.02039273,0.718,0.7423
67.0,0.01853885,0.7153,0.7373
68.0,0.0168535,0.7126,0.7332
69.0,0.01532136,0.707,0.729
70.0,0.01392851,0.7058,0.7264
71.0,0.01266228,0.7054,0.7259
72.0,0.01151117,0.7054,0.7216
73.0,0.0104647,0.701,0.7162
74.0,0.00951336,0.7003,0.7145
75.0,0.00864851,0.6992,0.7125
76.0,0.00786228,0.698,0.7084
77.0,0.00714753,0.6937,0.7042
78.0,0.00649775,0.6909,0.7043
79.0,0.00590705,0.6907,0.6991
80.0,0.00537004,0.6881,0.6987
81.0,0.00488186,0.6867,0.6958
82.0,0.00443805,0.6855,0.693
83.0,0.00403459,0.6839,0.6923
84.0,0.00366781,0.683,0.6896
85.0,0.00333438,0.6827,0.6885
86.0,0.00303125,0.6801,0.6859
87.0,0.00275568,0.6798,0.684
88.0,0.00250517,0.6767,0.6825
89.0,0.00227742,0.6755,0.6813
90.0,0.00207038,0.6741,0.6775
91.0,0.00188217,0.6723,0.6775
92.0,0.00171106,0.6715,0.675
93.0,0.00155551,0.6702,0.6731
94.0,0.0014141,0.6691,0.6728
95.0,0.00128555,0.6679,0.6707
96.0,0.00116868,0.6668,0.6699
97.0,0.00106243,0.6648,0.6674
98.0,0.00096585,0.6631,0.6662
99.0,0.00087805,0.663,0.6654
100.0,0.00079822,0.6612,0.6632
101.0,0.00072566,0.6606,0.6628
102.0,0.00065969,0.6567,0.6586
103.0,0.00059972,0.6553,0.6572
104.0,0.0005452,0.6547,0.656
105.0,0.00049563,0.6538,0.6554
106.0,0.00045058,0.6535,0.6546
107.0,0.00040961,0.6522,0.6534
108.0,0.00037238,0.6521,0.6531
109.0,0.00033852,0.6513,0.6522
